cds_data/data_100000_20_15_u_10_ppgeh.txt
copyDataFile complete
cds_query/query_100000_20_15_u_10_ppgeh.txt
copyQueryFile complete
make complete
81397 : 1.91986   : 0.571008  >> 0.571008
67739 : 1.91795   : 0.556874  >> 0.556874
86840 : 1.91453   : 0.552745  >> 0.552745
29843 : 1.90576   : 0.638858  >> 0.638858
98837 : 1.8988   : 0.578948  >> 0.578948
80751 : 1.88741   : 0.611506  >> 0.611506
1858 : 1.88393   : 0.642436  >> 0.642436
24301 : 1.86634   : 0.695283  >> 0.695283
62948 : 1.84688   : 0.683675  >> 0.683675
92523 : 1.82918   : 0.733552  >> 0.733552
__________________
52321 : 1.68192   : 0.828427  >> 0.828427
29843 : 1.67961   : 0.839365  >> 0.839365
48879 : 1.67418   : 0.719431  >> 0.719431
98208 : 1.66449   : 0.814563  >> 0.814563
98837 : 1.65693   : 0.833921  >> 0.833921
80751 : 1.64918   : 0.818739  >> 0.818739
1858 : 1.6372   : 0.858189  >> 0.858189
24301 : 1.63506   : 0.957405  >> 0.957405
92523 : 1.62047   : 0.987858  >> 0.987858
62948 : 1.58966   : 0.800426  >> 0.800426
__________________
67739 : 1.9615   : 0.573018  >> 0.573018
48879 : 1.96105   : 0.538127  >> 0.538127
52321 : 1.95917   : 0.594485  >> 0.594485
29843 : 1.94946   : 0.594486  >> 0.594486
98837 : 1.93115   : 0.62076  >> 0.62076
80751 : 1.92833   : 0.592568  >> 0.592568
1858 : 1.90598   : 0.649499  >> 0.649499
24301 : 1.90112   : 0.73668  >> 0.73668
92523 : 1.8824   : 0.75197  >> 0.75197
62948 : 1.87667   : 0.683674  >> 0.683674
__________________
81397 : 1.75346   : 0.470276  >> 0.470276
48879 : 1.75036   : 0.44539  >> 0.44539
86840 : 1.74684   : 0.505331  >> 0.505331
29843 : 1.73624   : 0.628051  >> 0.628051
98837 : 1.73504   : 0.550682  >> 0.550682
80751 : 1.7203   : 0.482247  >> 0.482247
1858 : 1.71336   : 0.493948  >> 0.493948
24301 : 1.70982   : 0.698546  >> 0.698546
62948 : 1.68634   : 0.602095  >> 0.602095
92523 : 1.675   : 0.691957  >> 0.691957
__________________
86840 : 1.91238   : 0.611485  >> 0.611485
48879 : 1.91217   : 0.613359  >> 0.613359
98208 : 1.9091   : 0.683675  >> 0.683675
29843 : 1.89959   : 0.706623  >> 0.706623
98837 : 1.88185   : 0.656445  >> 0.656445
80751 : 1.87305   : 0.681998  >> 0.681998
1858 : 1.86629   : 0.666799  >> 0.666799
24301 : 1.85196   : 0.77291  >> 0.77291
92523 : 1.82878   : 0.810331  >> 0.810331
62948 : 1.82826   : 0.670184  >> 0.670184
__________________
67739 : 1.93226   : 0.598312  >> 0.598312
98208 : 1.93205   : 0.633478  >> 0.633478
86840 : 1.92967   : 0.558888  >> 0.558888
29843 : 1.91298   : 0.668493  >> 0.668493
98837 : 1.90749   : 0.658188  >> 0.658188
80751 : 1.89918   : 0.673592  >> 0.673592
1858 : 1.88871   : 0.730448  >> 0.730448
24301 : 1.87618   : 0.747422  >> 0.747422
92523 : 1.85216   : 0.783148  >> 0.783148
62948 : 1.84622   : 0.685332  >> 0.685332
__________________
81397 : 1.58523   : 0.57499  >> 0.57499
67739 : 1.58334   : 0.552765  >> 0.552765
86840 : 1.5784   : 0.509829  >> 0.509829
29843 : 1.57618   : 0.582869  >> 0.582869
98837 : 1.56763   : 0.525258  >> 0.525258
80751 : 1.55583   : 0.560939  >> 0.560939
1858 : 1.55311   : 0.605901  >> 0.605901
24301 : 1.54481   : 0.661674  >> 0.661674
